,name,company,year,price,kms_driven,fuel_type
0,Hyundai Grand i10,Hyundai,8,445000.0,22402,Petrol
1,Maruti Suzuki Alto,Maruti,5,293000.0,10344,Petrol
2,Tata Safari XZ,Tata,3,2249000.0,12999,Diesel
3,Maruti Suzuki Ciaz,Maruti,8,695000.0,45000,Petrol
4,Jeep Compass Sport,Jeep,5,1200000.0,11193,Petrol
5,Maruti Suzuki Eeco,Maruti,7,372000.0,42906,Petrol
6,Hyundai Creta SX,Hyundai,7,1150000.0,66602,Diesel
7,Maruti Suzuki Ertiga,Maruti,5,1039000.0,13189,Petrol
8,Toyota Etios Liva,Toyota,11,375000.0,67815,Petrol
9,Renault Kwid 1.0,Renault,6,425000.0,19509,Petrol
10,Maruti Suzuki Ciaz,Maruti,7,675000.0,60000,Diesel
11,Maruti Suzuki Alto,Maruti,5,449000.0,3583,Petrol
13,Maruti Suzuki Vitara,Maruti,5,950000.0,48748,Diesel
14,Jeep Compass Longitude,Jeep,6,1325000.0,38000,Diesel
15,Toyota Corolla Altis,Toyota,8,925000.0,36000,Petrol
16,Hyundai Elite i20,Hyundai,7,675000.0,13747,Petrol
17,Mercedes-Benz EQC 400,Mercedes-Benz,2,9500000.0,3200,ecofriendly_fuel
18,Ford EcoSport Titanium,Ford,6,871000.0000000001,12795,Petrol
19,Hyundai i10 Magna,Hyundai,10,335000.0,41273,Petrol
20,Hyundai Creta 1.6,Hyundai,8,988000.0000000001,20142,Petrol
21,Kia Seltos HTE,Kia,5,1100000.0,47103,Diesel
22,Maruti Suzuki Ciaz,Maruti,4,990000.0,7755,Petrol
23,Renault Kwid 1.0,Renault,5,345000.0,33513,Petrol
24,BMW 3 Series,BMW,5,3749000.0,24848,Diesel
25,Maruti Suzuki Baleno,Maruti,7,639000.0,34559,Petrol
26,Hyundai i20 Sportz,Hyundai,2,890000.0,4000,Petrol
27,Ford EcoSport Titanium,Ford,6,659000.0,54544,Petrol
28,Maruti Suzuki Wagon,Maruti,6,392000.0,42247,Petrol
29,Honda Jazz VX,Honda,6,800000.0,100000,Diesel
30,Maruti Suzuki Swift,Maruti,5,775000.0,69000,Diesel
31,Tata Nexon XZ,Tata,3,1152000.0,10422,Petrol
32,Audi Q3 35,Audi,10,1675000.0,52000,Diesel
33,Maruti Suzuki Ciaz,Maruti,5,850000.0,56255,Petrol
34,Hyundai Santro Sportz,Hyundai,3,593000.0,78260,ecofriendly_fuel
35,Maruti Suzuki Alto,Maruti,3,415000.00000000006,19970,ecofriendly_fuel
36,MG Hector Plus,MG,4,1850000.0,9070,Petrol
37,Ford Figo Duratec,Ford,11,240000.0,73000,Petrol
38,Audi Q3 2.0,Audi,9,1199000.0,46336,Diesel
39,Hyundai Creta SX,Hyundai,8,894999.9999999999,57220,Petrol
40,Honda Jazz ZX,Honda,3,968000.0,7096,Petrol
41,Mercedes-Benz EQC 400,Mercedes-Benz,4,8100000.0,21500,ecofriendly_fuel
42,Hyundai Grand i10,Hyundai,9,493000.0,44045,Petrol
43,BMW X1 sDrive20d,BMW,11,1050000.0,70000,Diesel
44,Maruti Suzuki Swift,Maruti,6,785000.0,32853,Diesel
45,BMW 5 Series,BMW,7,3899000.0,26781,Diesel
46,Skoda Superb L&K,Skoda,3,3100000.0,45700,Petrol
47,Maruti Suzuki Swift,Maruti,10,484999.99999999994,62000,Petrol
48,Maruti Suzuki Wagon,Maruti,7,434999.99999999994,73500,ecofriendly_fuel
49,Maruti Suzuki Wagon,Maruti,7,451000.0,74076,ecofriendly_fuel
50,Tata Tiago Revotron,Tata,6,545000.0,56355,Petrol
51,Tata Tiago Revotron,Tata,7,450000.0,37000,Petrol
52,Maruti Suzuki Wagon,Maruti,3,681000.0,22158,ecofriendly_fuel
53,Hyundai Xcent S,Hyundai,10,395000.0,62568,Petrol
54,Kia Seltos HTK,Kia,5,1143000.0,19970,Petrol
55,BMW 5 Series,BMW,9,2300000.0,73900,Diesel
56,Kia Seltos HTE,Kia,4,1050000.0,37991,Petrol
57,Hyundai Creta 1.6,Hyundai,6,1275000.0,58676,Petrol
58,Hyundai Grand i10,Hyundai,7,599000.0,35104,Petrol
59,Kia Seltos GTX,Kia,5,1620000.0,51605,Petrol
60,Maruti Suzuki S-Presso,Maruti,4,420000.0,17472,Petrol
61,Hyundai Elite i20,Hyundai,9,475000.0,80000,Diesel
62,Mercedes-Benz GLC 200,Mercedes-Benz,3,6600000.0,16785,Petrol
63,Mercedes-Benz E-Class E,Mercedes-Benz,4,6898999.999999999,3999,Petrol
64,Maruti Suzuki Wagon,Maruti,7,441000.0,66882,ecofriendly_fuel
65,Audi A4 35,Audi,6,2950000.0,71235,Diesel
66,Chevrolet Cruze LTZ,Chevrolet,11,590000.0,56000,Diesel
67,Hyundai Grand i10,Hyundai,8,413999.99999999994,74938,Petrol
68,Honda City 1.5,Honda,15,285000.0,82000,Petrol
69,Maruti Suzuki Wagon,Maruti,3,675000.0,57685,ecofriendly_fuel
70,Hyundai Elite i20,Hyundai,6,710000.0,48000,Petrol
71,Mercedes-Benz C-Class 220,Mercedes-Benz,11,1395000.0,120000,Diesel
72,Hyundai Eon Magna,Hyundai,9,320000.0,33146,Petrol
73,Maruti Suzuki Baleno,Maruti,5,629000.0,26603,Petrol
74,Volkswagen Vento Comfortline,Volkswagen,8,651000.0,53094,Petrol
75,Hyundai Grand i10,Hyundai,7,475000.0,4098,Petrol
76,Maruti Suzuki Wagon,Maruti,13,289000.0,75379,Petrol
77,Hyundai Venue S,Hyundai,5,897000.0000000001,15763,Petrol
78,Mercedes-Benz C-Class 200,Mercedes-Benz,14,850000.0,119500,Petrol
79,Maruti Suzuki Wagon,Maruti,11,276000.0,42697,Petrol
80,Hyundai Elite i20,Hyundai,6,690000.0,45000,Petrol
81,Maruti Suzuki Vitara,Maruti,5,1044000.0,55174,Diesel
82,Honda City VX,Honda,8,735000.0,82953,Petrol
83,Maruti Suzuki Wagon,Maruti,8,390000.0,85138,Petrol
84,Audi Q5 3.0,Audi,9,2500000.0,57000,Diesel
85,Audi A6 2.0,Audi,11,1125000.0,52000,Diesel
86,Hyundai Creta SX,Hyundai,8,978999.9999999999,27623,Petrol
87,Hyundai Xcent SX,Hyundai,9,499000.0,73333,Petrol
88,MG Hector Sharp,MG,5,1659000.0,45999,Diesel
89,Maruti Suzuki Baleno,Maruti,7,545000.0,61518,Petrol
90,Maruti Suzuki S-Presso,Maruti,3,476000.0,65,Petrol
91,Maruti Suzuki Baleno,Maruti,7,739000.0,42400,Diesel
92,Jeep Compass Limited,Jeep,7,1395000.0,45221,Petrol
93,Maruti Suzuki Ignis,Maruti,4,628000.0,11290,Petrol
94,Hyundai Grand i10,Hyundai,8,409000.0,68446,Petrol
95,Honda City V,Honda,9,590000.0,51850,Petrol
96,Toyota Glanza G,Toyota,4,795000.0,10000,Petrol
97,Audi Q3 2.0,Audi,12,1190000.0,69500,Diesel
98,Maruti Suzuki Swift,Maruti,12,445000.0,44681,Petrol
99,Renault Kwid RXT,Renault,8,299000.0,65428,Petrol
100,Hyundai Verna Fluidic,Hyundai,11,391000.0,84344,Petrol
101,Maruti Suzuki Vitara,Maruti,6,890000.0,113600,Diesel
102,Maruti Suzuki Wagon,Maruti,4,599000.0,17778,ecofriendly_fuel
103,Maruti Suzuki Baleno,Maruti,6,580000.0,33269,Petrol
104,MG Hector Sharp,MG,3,1925000.0,15222,Petrol
105,Honda City V,Honda,7,925000.0,87139,Diesel
106,Maruti Suzuki Swift,Maruti,11,340000.0,69551,Petrol
107,Hyundai Verna Fluidic,Hyundai,11,484999.99999999994,72500,Diesel
108,Maruti Suzuki Swift,Maruti,6,633000.0,28899,Petrol
109,Maruti Suzuki Wagon,Maruti,7,396000.0,13595,Petrol
110,Ford Endeavour Titanium,Ford,8,2475000.0,83000,Diesel
111,Hyundai Elite i20,Hyundai,5,775000.0,19418,Petrol
112,Volvo V40 D3,Volvo,9,1200000.0,50965,Diesel
113,Ford EcoSport Ambiente,Ford,10,491000.0,74000,Diesel
114,Hyundai Xcent SX,Hyundai,7,425000.0,21707,Diesel
115,Mahindra XUV500 W8,Mahindra,11,740000.0,83555,Diesel
116,Hyundai Verna 1.6,Hyundai,9,585000.0,37000,Petrol
117,Hyundai Grand i10,Hyundai,10,385000.0,43000,Petrol
118,Maruti Suzuki Baleno,Maruti,7,690000.0,21769,Petrol
119,BMW 5 Series,BMW,6,4250000.0,32000,Petrol
120,Maruti Suzuki Ciaz,Maruti,6,799000.0,14886,Petrol
121,MG Hector Plus,MG,4,1889999.9999999998,6602,Petrol
122,Maruti Suzuki Wagon,Maruti,10,385000.0,58000,ecofriendly_fuel
123,Maruti Suzuki Wagon,Maruti,10,407000.0,63339,ecofriendly_fuel
124,Maruti Suzuki Ciaz,Maruti,4,830000.0000000001,4500,Petrol
125,Renault Triber RXZ,Renault,4,760000.0,23600,Petrol
126,Hyundai Venue S,Hyundai,5,955000.0000000001,17844,Petrol
127,Honda City SV,Honda,5,875000.0,21000,Petrol
128,Tata Indica LS,Tata,7,250000.0,60000,Diesel
129,Maruti Suzuki Celerio,Maruti,8,450000.0,34530,Petrol
130,Honda CR-V 2.4,Honda,10,1400000.0,117192,Petrol
131,Honda Jazz VX,Honda,8,595000.0,54000,Diesel
132,Nissan Terrano XL,Nissan,8,679000.0,38999,Petrol
133,Volkswagen Ameo Highline,Volkswagen,7,660000.0,58549,Diesel
134,Hyundai Elite i20,Hyundai,5,687000.0,41055,Petrol
135,Renault Kwid 1.0,Renault,6,304000.0,53728,Petrol
136,Hyundai Grand i10,Hyundai,7,529000.0,42141,Petrol
137,Tata Tiago JTP,Tata,6,416000.0,63130,Petrol
138,Maruti Suzuki Alto,Maruti,8,301000.0,53912,Petrol
139,Tata Nexon XMA,Tata,5,941000.0,20678,Diesel
140,Tata Safari XTA,Tata,2,2375000.0,4259,Diesel
141,Honda Jazz E,Honda,8,490000.00000000006,48866,Petrol
142,Renault Kwid RXT,Renault,6,331000.0,32954,Petrol
143,Maruti Suzuki Wagon,Maruti,12,235000.0,37000,Petrol
144,Mahindra XUV500 W11,Mahindra,6,1390000.0,85000,Diesel
145,Audi A3 35,Audi,8,2475000.0,36627,Diesel
146,Volkswagen Polo GT,Volkswagen,6,925000.0,62690,Petrol
147,Toyota Innova Crysta,Toyota,4,2150000.0,12039,Diesel
148,Honda City VX,Honda,4,1204000.0,26230,Petrol
149,Hyundai Santro Sportz,Hyundai,4,557000.0,19156,Petrol
150,Hyundai Grand i10,Hyundai,4,579000.0,18350,Petrol
151,Hyundai Elite i20,Hyundai,6,554000.0,44053,Petrol
152,Hyundai i10 1.1L,Hyundai,10,340000.0,69000,Petrol
153,BMW 5 Series,BMW,7,4300000.0,40000,Diesel
154,Tata Harrier XZ,Tata,4,1895000.0,35438,Diesel
156,Maruti Suzuki Ciaz,Maruti,4,885000.0,38500,Petrol
157,Maruti Suzuki Wagon,Maruti,6,484000.0,20583,ecofriendly_fuel
158,Skoda Rapid Style,Skoda,8,715000.0,81325,Diesel
159,Maruti Suzuki Baleno,Maruti,7,590000.0,35000,Petrol
160,Maruti Suzuki Celerio,Maruti,9,484999.99999999994,25000,Petrol
161,Honda Jazz V,Honda,9,462000.0,37993,Petrol
162,Land Rover Discovery,Land,6,3499000.0,21693,Diesel
163,Hyundai Creta SX,Hyundai,6,1025000.0,63194,Petrol
164,Hyundai i10 1.2,Hyundai,15,180000.0,60000,Petrol
165,Honda City VX,Honda,6,1200000.0,70000,Petrol
166,Tata Hexa XTA,Tata,6,1600000.0,51000,Diesel
167,Hyundai Elite i20,Hyundai,5,830000.0000000001,22024,Petrol
168,Skoda Octavia 2.0,Skoda,7,2095000.0,35793,Diesel
169,Hyundai Tucson GLS,Hyundai,7,1925000.0,75400,Diesel
170,Maruti Suzuki Swift,Maruti,8,475000.0,84996,Diesel
